Unnamed: 0,daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,addicted
0,5,29,0,0,49,0,44,5,3,35,not addicted
1,12,29,1,2,65,1,29,5,9,21,addicted
2,8,28,2,0,57,3,28,7,5,39,addicted
3,12,39,2,0,69,1,28,6,8,24,addicted
4,7,37,3,1,64,2,27,4,5,26,addicted
5,7,29,0,0,59,1,42,6,5,22,not addicted
6,7,32,0,3,63,2,41,2,4,30,addicted
7,8,37,4,1,63,1,21,7,5,33,addicted
8,6,29,3,3,83,1,15,7,4,29,addicted
9,8,22,2,0,51,0,32,6,5,28,not addicted
10,10,14,3,0,41,1,50,11,7,29,not addicted
11,6,29,1,1,57,1,35,4,4,31,not addicted
12,6,30,2,2,67,0,15,9,4,26,addicted
13,8,43,2,0,68,3,44,7,6,29,addicted
14,1,27,1,0,46,1,27,6,0,26,not addicted
15,4,31,2,2,82,1,42,8,3,24,addicted
16,9,24,1,0,66,0,50,5,6,20,not addicted
17,4,35,3,4,57,1,31,6,3,24,addicted
18,10,33,1,2,53,1,34,7,7,28,not addicted
19,10,35,1,0,66,2,26,6,7,32,addicted
20,3,28,0,0,55,0,45,6,1,33,not addicted
21,6,36,1,2,72,1,29,4,4,34,addicted
22,11,32,3,1,65,1,33,8,7,33,addicted
23,7,37,4,1,72,2,33,9,5,41,addicted
24,2,21,0,0,52,0,45,8,1,22,not addicted
25,3,18,1,0,56,1,27,5,2,22,not addicted
26,7,29,3,0,68,2,34,6,5,23,addicted
27,5,34,1,0,66,0,54,11,3,23,not addicted
28,9,43,2,0,82,0,43,3,6,31,addicted
29,11,25,0,2,84,0,42,5,8,20,addicted
30,10,28,1,0,37,0,24,4,7,22,not addicted
31,7,25,1,3,53,0,46,8,4,21,not addicted
32,6,31,2,1,68,1,30,6,4,21,addicted
33,7,13,2,0,51,0,54,8,5,21,not addicted
34,12,35,3,1,62,4,15,6,8,37,addicted
35,11,33,2,3,78,2,19,9,8,36,addicted
36,8,40,0,2,73,0,29,6,5,31,addicted
37,8,23,0,0,50,0,42,8,6,26,not addicted
38,5,31,4,3,61,2,33,4,4,23,addicted
39,2,24,0,0,39,1,36,9,1,31,not addicted
