,daily_screen_time,app_sessions,notifications_number,night_usage,age,productivity_hours,stress_level,apps_installed,addicted
0,9.49,29,49,0.248357077,44,5.10242865,58.99,35,not addicted
1,7.59,29,65,0.930867849,29,4.539708387,36.30541032,21,addicted
2,9.94,28,56,3.323844269,28,7.758144225,74.82127819,39,addicted
3,12.57,39,67,1.761514928,28,5.214881673,59.71217087,24,addicted
4,7.3,37,60,1.882923313,27,4.616141915,56.10807755,26,addicted
5,7.3,29,51,0.882931522,42,6.019457914,44.17469306,22,not addicted
6,12.74,32,70,2.789606408,41,1.755266502,71.53116073,30,addicted
7,10.3,37,61,1.383717365,21,7.083501461,63.48385434,33,addicted
8,6.59,29,82,0.765262807,15,7.366674004,46.88294112,29,addicted
9,9.63,22,50,0.271280022,32,6.683373368,71.43354815,28,not addicted
10,6.61,14,46,0.768291154,50,11.15657151,42.79,29,not addicted
11,6.6,29,67,0.767135123,35,3.554651957,30.70990358,31,not addicted
12,8.73,30,68,0.120981136,15,9.027815062,52.91,26,addicted
13,2.26,43,67,2.043359878,44,7.908396618,31.72888796,29,addicted
14,2.83,27,40,0.137541084,27,6.673839043,30.42825987,26,not addicted
15,6.31,31,75,0.718856235,42,8.454381739,46.96645925,24,addicted
16,4.96,24,57,0,50,5.39784351,37.72591004,20,not addicted
17,8.94,35,53,1.157123666,31,6.349725045,60.65095289,24,addicted
18,5.28,33,43,0.545987962,34,7.579377417,43.24,28,not addicted
19,3.763088896,35,71,1.293848149,26,5.771685607,18.01,32,addicted
20,12.39694631,28,57,0.732824384,45,5.322456967,60.83081718,33,not addicted
21,7.322671099,36,71,0.88711185,29,4.03450175,44.6260616,34,addicted
22,8.202584614,32,71,1.033764102,33,7.591209207,41.03969182,33,addicted
23,3.725755441,37,67,1.287625907,33,8.472489622,11.80432509,41,addicted
24,6.366851826,21,48,0,45,7.639860712,30.99832519,22,not addicted
25,8.332767769,18,46,1.055461295,27,6.242656962,74.84974586,22,not addicted
26,4.547019268,29,72,1.424503211,34,6.068062317,28.64336195,23,addicted
27,9.127094055,34,62,0.187849009,54,11.18095392,58.38164269,23,not addicted
28,6.19808393,43,82,0,43,2.388818596,24.96487551,31,addicted
29,7.12,25,89,0,42,4.078123521,24.31198292,20,addicted
30,6.19,28,44,0,24,3.590473678,28.97875455,22,not addicted
31,13.55683455,25,53,0.926139092,46,8.719097793,95.72296317,21,not addicted
32,7.959508326,31,70,0.993251388,30,6.167137733,51.1,21,addicted
33,4.826867213,13,46,0,54,8.299297546,34.94715419,21,not addicted
34,10.46763474,35,70,4.411272456,15,6.36928302,70.19146881,37,addicted
35,4.33746905,33,77,1.389578175,19,8.70432531,20.1113205,36,addicted
36,8.626590785,40,73,0.104431798,29,6.693982792,65.63920055,31,addicted
37,2.120989628,23,48,0,42,7.6835962,6.397861778,26,not addicted
38,4.015441853,31,67,1.335906976,33,4.70311618,38.15497471,23,addicted
39,8.59,24,40,1.098430618,36,9.221151078,55.96652381,31,not addicted
40,10.21539974,23,52,1.36923329,33,7.105477423,43.4019469,24,not addicted
41,8.514104844,32,63,0.085684141,28,5.625995257,43.6045342,30,addicted
42,7.653055153,25,40,0.942175859,25,5.107530734,28.06894559,27,not addicted
43,7.096688913,30,60,0.849448152,25,7.581641066,54.21295481,29,addicted
44,3.564434029,36,69,1.260739005,15,5.98763229,21.14,32,addicted
45,5.840467375,26,42,1.640077896,22,8.88582878,12.75937985,28,not addicted
46,6.618083687,26,58,0,33,6.187873441,43.47,28,not addicted
47,11.17136668,41,80,2.528561113,44,2.731417869,61.65655745,27,addicted
48,9.030854869,33,76,0.171809145,15,6.258097072,39.34707066,38,addicted
49,2.710879534,24,58,0.118479922,46,9.838982918,33.04493557,19,not addicted
50,8.972251908,32,69,0.162041985,28,7.053642933,54.90637011,32,addicted
51,6.84,40,68,2.80745886,22,4.853284299,38.13420493,23,addicted
52,5.969233999,45,75,0.661539,43,3.80028761,31.82115618,24,addicted
53,9.835028867,21,55,2.305838144,54,9.243360265,43.88,25,not addicted
54,11.09299857,39,65,1.515499761,20,6.34772555,53.51250241,31,addicted
55,10.79384036,23,46,0.46564006,37,3.642458392,77.61220999,20,not addicted
56,5.48234743,25,46,0.580391238,49,4.763058565,28.15525588,22,not addicted
57,7.072362872,22,50,0.845393812,28,4.01103385,42.65485424,22,not addicted
58,8.993790294,17,60,1.165631716,40,1.977834762,33.519437,20,not addicted
59,10.92663538,31,58,0.487772564,31,8.340953982,52.37889193,27,not addicted
60,6.56,40,70,0.760412881,32,8.30490626,45.47298892,23,addicted
61,7.44302307,38,71,0.907170512,20,3.18885588,48.43525602,34,addicted
62,4.680995078,37,65,0,41,6.876687599,45.61972246,28,addicted
63,4.411380128,46,71,0,40,3.671478166,39.89784408,30,addicted
64,10.43757747,37,53,2.406262911,39,6.884644514,60.31835508,26,addicted
65,12.06872009,22,57,1.678120014,35,8.236476782,77.14185616,27,not addicted
66,7.783969635,20,70,1.963994939,49,5.841698279,43.53778338,30,not addicted
67,11.01059869,23,45,2.501766449,23,4.027404909,86.61169035,27,not addicted
68,9.084908075,21,61,1.180818013,47,5.574507348,66,25,not addicted
69,6.064640736,33,56,0,45,4.084842545,38.08469533,15,addicted
70,9.084186817,30,56,0.180697803,43,9.100197392,56.50906875,23,addicted
71,12.6141097,21,52,0.769018283,51,7.722425144,90.13316107,21,not addicted
72,7.892521883,23,52,0,33,8.289788924,53.15090977,23,not addicted
73,12.69393097,30,63,0.782321828,44,4.779314009,91.74986598,37,addicted
74,1,40,64,0.690127448,28,4.903176037,0,22,addicted
75,10.46570751,43,57,2.410951252,28,5.230614131,67.41,30,addicted
76,8.261141205,37,65,1.043523534,23,4.742282568,44.41249858,24,addicted
77,7.102977949,47,71,0,40,7.878188994,60.18164757,33,addicted
78,8.27528233,22,47,1.045880388,48,6.773199344,65.11568085,28,not addicted
79,2.037293256,41,64,0,21,3.016417905,12.55211763,25,addicted
80,7.340984336,26,46,0.890164056,45,7.767815489,59.4,29,not addicted
81,9.07,45,56,0.178556286,19,9.89155726,72.26,23,addicted
82,12.43368213,22,47,0.738947022,44,7.037203336,75.34615952,25,not addicted
